instance,distance_method,optimization_variable,city,date,alpha,iteration,objective_value,vt_labors,extra_time,dist
instAD2,haversine,hybrid,149,2026-01-05,0.0,68,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,136,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,205,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,273,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,342,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,410,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,478,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,547,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,615,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,684,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,752,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,821,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,889,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,957,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,1026,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,1094,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,1163,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,1231,73,73,1586.6,182.49
instAD2,haversine,hybrid,149,2026-01-05,0.0,1300,73,73,1586.6,182.49
instAD2,haversine,hybrid,1,2026-01-05,0.0,52,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,105,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,157,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,210,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,263,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,315,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,368,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,421,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,473,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,526,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,578,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,631,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,684,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,736,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,789,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,842,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,894,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,947,26,26,423.7,63.21
instAD2,haversine,hybrid,1,2026-01-05,0.0,1000,26,26,423.7,63.21
instAD2,haversine,hybrid,126,2026-01-05,0.0,7,8,8,268.0,25.35
instAD2,haversine,hybrid,126,2026-01-05,0.0,15,8,8,268.0,25.35
instAD2,haversine,hybrid,126,2026-01-05,0.0,23,8,8,268.0,25.35
instAD2,haversine,hybrid,126,2026-01-05,0.0,31,8,8,268.0,25.35
instAD2,haversine,hybrid,126,2026-01-05,0.0,39,8,8,268.0,25.35
instAD2,haversine,hybrid,126,2026-01-05,0.0,47,8,8,268.0,25.35
instAD2,haversine,hybrid,126,2026-01-05,0.0,55,8,8,268.0,25.35
